Markdown Path,Markdown Filename,title,articleIndex,index,description,date,draft,contributors,contributor.role,contributor.name,contributor.headshot,contributor.caption,contributor.bio,articletype,azure_dir,header_image,header_image.filename,header_image.alt_text,tags,byline,subtitle,no_leaf_bug,Obsolete Front Matter
volume-viii-issue-1,munoz.md,Winter into Sprin...,3,munoz,,05/10/2022 15:22:00,False,1,Photographer,Oliver Mu&ntilde;oz,munoz-headshot.png,All photos courte...,**Oliver Mu&ntild...,Photo Essay,rootstalk-2022-sp...,True,munoz-header.png,," , ",,,,[]
volume-viii-issue-1,horan.md,Getting Lost in Ohio,13,horan,,05/10/2022 15:22:00,False,1,photographer,Sam Horan,horan-headshot.png,Photo by Henry Sh...,**Sam Horan** liv...,Photography,rootstalk-2022-sp...,True,horan-header.png,This header image...,,,,,[]
volume-viii-issue-1,burt.md,Fly Fishing in th...,18,burt,,05/10/2022 15:22:00,False,1,author,Michael Burt,Burt-1-volume-vii...,All images courte...,**Michael Burt** ...,,rootstalk-2022-sp...,True,burt-header.png,This header image...," , ",,,,[]
volume-viii-issue-1,agpoon.md,Exploring the Pra...,2,agpoon,,05/10/2022 15:22:00,False,1,Associate Editor,Hannah Agpoon,agpoon-1-volume-v...,All images courte...,**Hannah Agpoon**...,Editor's Note,rootstalk-2022-sp...,True,agpoon-header.png,This header image...,Editor's Note,,,,[]
volume-viii-issue-1,chen.md,*Grow Finish Unit...,8,chen,,05/10/2022 15:22:00,False,1,author,Jeremy Chen,chen-headshot.png,Photo courtesy of...,**Jeremy Chen** i...,Review,rootstalk-2022-sp...,True,chen-header.png,This header image...,,,,,[]
volume-viii-issue-1,gaddis.md,Blossom Aloe Exte...,20,gaddis,,05/10/2022 15:22:00,False,1,author,Xonzy Gaddis,gaddis-1-volume-v...,Photo courtesy of...,Associate Editor ...,Interview,rootstalk-2022-sp...,True,gaddis-header.png,This header image...,,,,,[]
volume-viii-issue-1,bradley.md,Looking for Commu...,21,bradley,,05/10/2022 15:22:00,False,1,author,Kendra Bradley,Bradley-1-volume-...,Photo courtesy of...,Associate editor ...,,rootstalk-2022-sp...,True,bradley-header.png,This header image...," , ",,,,[]
volume-viii-issue-1,taylor.md,Making Art with a...,19,taylor,,05/10/2022 15:22:00,False,1,author,Hannah Taylor,taylor-1.png,,**Hannah Taylor**...,,rootstalk-2022-sp...,True,taylor-header.png,This header image...," , ",,,,[]
volume-viii-issue-1,_index.md,"Volume VIII, Issue 1",,,Current Issue - S...,,,,,,,,,,rootstalk-2022-sp...,,,,,,,,"['sidebar', 'pid', 'issueIndex']"
volume-viii-issue-1,henry.md,Havensville,15,henry,,05/10/2022 15:22:00,False,1,author,Kay Henry,Henry-7-volume-vi...,Photo by Oscar La...,*Kay Henry* is a ...,Essay,rootstalk-2022-sp...,True,henry-header.png,This header image...,"featured,essay",,,,[]
volume-ii-issue-1,moffett-1.md,My Prairie,4,moffett-1,,03/06/2022 11:50:02,False,1,author,Betty Moffett,Betty_Moffett.png,Photo courtesy of...,Betty Moffett tau...,,rootstalk-2015-fall,,,,essay,,,,['azure_headerimage']
volume-ii-issue-1,filler-material-UNDONE.md,,15,filler-material,,03/06/2022 11:50:02,False,2,author,,,,,,rootstalk-2015-fall,,,," , ",,,,['azure_headerimage']
volume-ii-issue-1,mcilrath.md,"Such A Clean, Tid...",14,mcilrath,,03/06/2022 11:50:02,False,1,author,J. Harley McIlrath,Harley_June_2010_...,Photo courtesy of...,J. Harley McIlrat...,,rootstalk-2015-fall,,,,essay,,,,['azure_headerimage']
volume-ii-issue-1,wolf.md,Close-up: Robert ...,13,wolf,,03/06/2022 11:50:02,False,1,author,Robert Wolf,Best_Head_Shot.jpg,Photo courtesy of...,,,rootstalk-2015-fall,,,,closeup,,,,['azure_headerimage']
volume-ii-issue-1,editor.md,Editors’ Notes,2,editor,,03/06/2022 11:50:02,False,2,author,Emma Thomasch,IMG_3053.jpg,Photo courtesy of...,,,rootstalk-2015-fall,,,,"editor's note,essay",,,,['azure_headerimage']
