Content Path,Filename,develop Link,main Link,Production Link,title,last_modified_at,to-do List,articleIndex,description,azure_dir,Obsolete Front Matter,contributors,contributor.role,contributor.name,contributor.headshot,contributor.caption,contributor.bio,categories,header_image,header_image.filename,header_image.alt_text,tags,byline,byline2,subtitle,no_leaf_bug,index,date,draft
past-issues/volume-ii-issue-1,whittaker,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/whittaker ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/whittaker ,https://rootstalk.grinnell.edu/past-issues/volume-ii-issue-1/whittaker ,Tortoise Philosophy,2023-09-19 15:10:19,,20,,rootstalk-2015-fall,[],1,author,John C. Whittaker,JW_peasant_France_2005.png,Photo courtesy of John Whittaker,"**John Whittaker** has been teaching Anthropology at Grinnell College since 1984. He is mostly an archaeologist, often experiment...",Essay,True,whittaker-header.png,,,,,,,whittaker,03/06/2022 11:50:02,False
past-issues/volume-ii-issue-1,lahay,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/lahay ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/lahay ,https://rootstalk.grinnell.edu/past-issues/volume-ii-issue-1/lahay ,Puppy Mills in Iowa,2023-09-19 15:10:19,,40,,rootstalk-2015-fall,[],1,author,Mary LaHay,Mary_LaHay.jpg,Photo courtesy of Mary LaHay,"**Mary LaHay** lives in Des Moines with her husband, four dogs, and one cat. She started Iowa Friends of Companion Animals, a non...",Essay,True,lahay-header.png,,,,,,,lahay,03/06/2022 11:50:02,False
past-issues/volume-ii-issue-1,hayworth-photos,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/hayworth-photos ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/hayworth-photos ,https://rootstalk.grinnell.edu/past-issues/volume-ii-issue-1/hayworth-photos ,Untitled Photos: Justin Hayworth,2023-09-19 15:10:19,,18,,rootstalk-2015-fall,[],1,photographer,Justin Hayworth,Hayworth_2c_JustinMUG.jpg,Photo courtesy of Justin Hayworth,[Justin Hayworth](http://justinhayworthphotography.zenfolio.com/) has been the photographer at Grinnell College for three years. ...,Photo Essay,True,hayworth-header.png,,photo essay,,,,,hayworth-photos,03/06/2022 11:50:02,False
past-issues/volume-ii-issue-1,mutel,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/mutel ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/mutel ,https://rootstalk.grinnell.edu/past-issues/volume-ii-issue-1/mutel ,The Stories We Live By: Writing Climate Change*,2023-09-19 15:10:19,,26,,rootstalk-2015-fall,[],1,author,Cornelia F. Mutel,Connie_Mutel.png,Photo courtesy of Connie Mutel,"**Connie Mutel**, a Senior Science Writer at the University of Iowa’s [IIHR-Hydroscience & Engineering,](http://www.iihr.uiowa.ed...",Essay,True,mutel-header.png,,,,,,,mutel,03/06/2022 11:50:02,False
past-issues/volume-ii-issue-1,farewell-richard,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/farewell-richard ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/farewell-richard ,https://rootstalk.grinnell.edu/past-issues/volume-ii-issue-1/farewell-richard ,"Farewell, Richard",2023-09-19 15:29:06,,1,,rootstalk-2015-fall,[],,,,,,,Unassigned,True,richard-fyffe-header.png,Banner image of Richard Fyffe,,Jon Andelson,,,,farewell-richard,03/06/2022 11:50:02,False
past-issues/volume-ii-issue-1,moffett-2,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/moffett-2 ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/moffett-2 ,https://rootstalk.grinnell.edu/past-issues/volume-ii-issue-1/moffett-2 ,The Real Deep River Blues,2023-09-19 15:10:19,,12,,rootstalk-2015-fall,[],1,author,Sandy Moffett,Sandy_Burn.jpg,Photo courtesy of Sandy Moffett,"**Sandy Moffett**, Emeritus Professor of Theatre at Grinnell College, joined the Theatre Faculty in 1971 and continues to teach a...",Multimedia,True,deep-river-header.png,Sandy and Betty Moffet playing with The Too Many String Band,song,Lyrics by Sandy Moffet,Performed by The Too Many String Band,,,moffett-2,03/06/2022 11:50:02,False
past-issues/volume-ii-issue-1,_index,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/ ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/ ,https://rootstalk.grinnell.edu/past-issues/volume-ii-issue-1/ ,"Volume II, Issue 1",2023-05-11 16:23:43,,0,Fall 2015,rootstalk-2015-fall,"['issueIndex', 'pid', 'issue']",,,,,,,,,,,,,,,,,,
past-issues/volume-ii-issue-1,howland,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/howland ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-ii-issue-1/howland ,https://rootstalk.grinnell.edu/past-issues/volume-ii-issue-1/howland ,Untitled Drawings,2023-09-19 15:10:19,,15,,rootstalk-2015-fall,[],1,artist,Madeline Howland,Howland_headshot-2.jpg,Photo courtesy of Madeline Howland,"**Madeline Howland**, from Minneapolis, Minnesota, is a senior at Grinnell College, where she is majoring in biology. Her favorit...",2D Art,True,howland-header.png,,,,,,True,howland,03/06/2022 11:50:02,False
past-issues/volume-iii-issue-2,maher,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-iii-issue-2/maher ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-iii-issue-2/maher ,https://rootstalk.grinnell.edu/past-issues/volume-iii-issue-2/maher ,The Pines in Concert,2023-09-19 15:29:06,,74,,rootstalk-2017-spring,[],1,author,Kelly Hansen Maher,IMG_2641.jpg,Photo courtesy of Kelly Hansen Maher,"Kelly Hansen Maher lives in Grinnell, Iowa, and is the author of one collection of poetry, [Tremolo.](http://www.tinderboxedition...",Unassigned,True,maher-header.jpg,,essay,,,Above the Prairie,,maher,27/01/2022 15:12:56,False
past-issues/volume-iii-issue-2,schwartz,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-iii-issue-2/schwartz ,https://yellow-wave-0e513e510.3.azurestaticapps.net/past-issues/volume-iii-issue-2/schwartz ,https://rootstalk.grinnell.edu/past-issues/volume-iii-issue-2/schwartz ,Mushrooms in the Midwest,2023-09-19 15:10:23,,67,,rootstalk-2017-spring,[],3,interviewee,Glen Schwartz,Glenn_Schwartz_headshot.png,Photo courtesy of Glen Schwartz,Glen Schwartz  grew up hunting morels in Minnesota until he moved to Iowa in 1974. He joined the [Prairie States Mushroom Club](h...,Interview,True,schwartz-header.jpg,,,,,An Interview with Glen Schwartz and Dave Layton,,schwartz,27/01/2022 15:12:56,False
